---
pid: 13044
cwd: "C:\Users\PC\Desktop\ХЗ\адекватный сайт"
command: "Set-Location \"C:\\Users\\PC\\Desktop\\ХЗ\\адекватный сайт\"; python -m http.server 5501 --bind 127.0.0.1"
started_at: 2026-06-12T06:39:03.831Z
running_for_ms: 10180000 
---
Serving HTTP on 127.0.0.1 port 5501 (http://127.0.0.1:5501/) ...
127.0.0.1 - - [12/Jun/2026 13:39:04] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:04] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:04] "GET /data/content.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:04] "GET /css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:04] "GET /about.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:04] "GET /services.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:20] "GET /js/boot-guard.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:28] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /js/boot-guard.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /assets/images/photos/alexa-portrait.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /css/01-variables.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /css/02-base.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /css/03-preloader.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /css/04-cursor.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /css/05-navigation.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /css/06-hero.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /css/07-marquee.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /css/08-footer.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /css/09-capital.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /css/10-about.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /css/11-reviews.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /css/12-home.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /css/13-services.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /assets/images/photos/alexa-alt.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /js/modules/preloader.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /js/modules/cursor.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /js/modules/navigation.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /js/modules/canvas-environment.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /js/modules/hero.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /js/modules/marquee.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /js/modules/home-render.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /js/modules/footer.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /js/modules/home-scroll.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /js/modules/utils.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:42] "GET /data/content.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:43] code 404, message File not found
127.0.0.1 - - [12/Jun/2026 13:39:43] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [12/Jun/2026 13:39:46] "GET /assets/images/photos/bg-aesthetic.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:39:46] "GET /assets/images/photos/hero.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:06] "GET /reviews.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:06] "GET /css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:06] "GET /js/boot-guard.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:06] "GET /js/reviews.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:06] "GET /css/12-home.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:06] "GET /css/13-services.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:06] "GET /data/content.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:06] "GET /js/modules/reviews-render.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:06] "GET /js/modules/video-modal.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:06] "GET /js/modules/contact-channels.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:06] "GET /js/modules/multi-step-form.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:06] "GET /js/modules/footer.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:09] "GET /assets/images/reviews/review-1.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:09] "GET /assets/images/reviews/review-2.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:09] "GET /assets/images/reviews/review-4.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:09] "GET /assets/images/reviews/review-3.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:24] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:24] "GET /js/boot-guard.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:24] "GET /css/10-about.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:24] "GET /css/11-reviews.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:24] "GET /js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:24] "GET /js/modules/home-render.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:24] "GET /js/modules/footer.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:24] "GET /js/modules/home-scroll.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:35] "GET /services.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:35] "GET /css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:35] "GET /js/boot-guard.js HTTP/1.1" 304 -
